TimeStamp,Type,CoinId,Amount,CashValue
2017-02-28 21:23:48.292029,1,BTC,26.21538854976309,166666.66666666666
2017-02-28 21:23:48.292235,1,ETH,2264.804966228556,166666.66666666666
2017-02-28 21:23:48.292295,1,XMR,1989.6302957646155,166666.66666666666
2017-03-01 21:23:48.292370,1,ETH,2.616564666551787e-13,1.9402553637822468e-11
2017-03-01 21:23:48.292425,1,BTC,3.0741534048649713e-15,1.9402553637822468e-11
2017-03-01 21:23:48.292471,1,XMR,2.3109708501965893e-13,1.9402553637822468e-11
2017-03-02 21:23:48.292533,1,ETH,2.953314025437774e-29,2.1541161785235095e-27
2017-03-02 21:23:48.292580,1,BTC,3.5175946397660907e-31,2.1541161785235095e-27
2017-03-02 21:23:48.292624,1,XMR,2.657890148497158e-29,2.1541161785235095e-27
2017-03-03 21:23:48.292686,1,ETH,3.286618182459144e-45,2.3915493791143543e-43
2017-03-03 21:23:48.292733,1,BTC,3.8535308424095456e-47,2.3915493791143543e-43
2017-03-03 21:23:48.292777,1,XMR,2.9367529246406506e-45,2.3915493791143543e-43
2017-03-04 21:23:48.292839,1,ETH,5.467994318834277e-61,3.982729777831131e-59
2017-03-04 21:23:48.292886,1,BTC,6.310159276597158e-63,3.982729777831131e-59
2017-07-08 21:23:48.293217,2,ETH,2264.8049662285566,3949510.1844223724
2017-07-08 21:23:48.295026,2,BTC,26.215388549763095,483989.1371391506
2017-07-08 21:23:48.295250,2,XMR,1989.6302957646158,706323.0889285266
2017-07-08 21:23:48.295308,1,USDT,737423.9343223302,5139822.410490049
2017-08-05 21:23:48.295524,2,USDT,737423.9343223302,5011675.347909239
2017-08-05 21:23:48.295593,1,LTC,7062.108110259291,2505837.6739546196
2017-08-05 21:23:48.295646,1,XMR,8321.4924630221,2505837.6739546196
2017-09-12 21:23:48.295785,2,LTC,7062.108110259291,2070766.722392761
2017-09-12 21:23:48.295866,2,XMR,8321.4924630221,2716437.4525118964
2017-09-12 21:23:48.296670,1,USDT,717180.4742986172,4787204.1749046575
2017-10-13 21:23:48.296857,2,USDT,717180.4742986172,4694005.256874501
2017-10-13 21:23:48.296924,1,XRP,1790540.1330835936,2347002.6284372504
2017-10-13 21:23:48.297287,1,EOS,506442.68366179557,2347002.6284372504
2018-01-19 21:23:48.297568,2,EOS,506442.68366179557,28199018.69726122
2018-01-19 21:23:48.297627,2,XRP,1790540.1330835936,13155980.575420823
2018-01-19 21:23:48.297671,1,USDT,6247389.626467148,41354999.27268204
2018-04-16 21:23:48.298471,2,USDT,6247389.626467148,39326019.36222514
2018-04-16 21:23:48.298665,1,BNB,282868.6484160783,19663009.68111257
2018-04-16 21:23:48.298719,1,TRX,109459552.22988874,19663009.68111257
2018-05-18 21:23:48.298843,2,BNB,282868.6484160783,26334569.486524377
2018-05-18 21:23:48.299210,2,TRX,109459552.22988874,36946979.67928005
2018-05-18 21:23:48.299261,1,USDT,9996113.847904786,63281549.16580443
2018-07-20 21:23:48.299756,2,USDT,9996113.847904786,66242856.4519572
2018-07-20 21:23:48.299934,1,BTC,736.3825440950915,33121428.2259786
2018-07-20 21:23:48.299986,1,ETH,10198.26877201265,33121428.2259786
2018-07-24 21:23:48.300041,2,ETH,10198.26877201265,29595288.0802557
2018-07-24 21:23:48.300410,2,BTC,736.3825440950915,30713668.046364162
2018-07-24 21:23:48.300460,1,USDT,9044235.66537006,60308956.12661986
2018-07-26 21:23:48.300532,2,USDT,9044235.66537006,60037047.06208342
2018-07-26 21:23:48.300589,1,BCH,5565.66038322156,30018523.53104171
2018-07-26 21:23:48.300630,1,LTC,53006.4044770065,30018523.53104171
2018-08-02 21:23:48.301204,2,BCH,5565.66038322156,29650458.729677536
2018-08-02 21:23:48.301259,2,LTC,53006.4044770065,29676684.41232388
2018-08-02 21:23:48.301315,1,USDT,8807796.282472137,59327143.14200142
2018-09-22 21:23:48.301875,2,USDT,8807796.282472137,60568362.61211921
2018-09-22 21:23:48.301941,1,EOS,816700.3393204769,30284181.306059606
2018-09-22 21:23:48.301993,1,TRX,175107734.98052576,30284181.306059606
2018-10-15 21:23:48.302095,2,EOS,816700.3393204769,25744419.42844083
2018-10-15 21:23:48.302151,2,TRX,175107734.98052576,26606912.620122425
2018-10-15 21:23:48.302790,1,USDT,7631868.017784402,52351332.04856326
2018-11-07 21:23:48.303128,2,USDT,7631868.017784402,52903801.100747064
2018-11-07 21:23:48.303253,1,TRX,259470398.4179657,26451900.550373532
2018-11-07 21:23:48.303340,1,XRP,9358992.859561644,26451900.550373532
2018-11-15 21:23:48.303430,2,TRX,259470398.4179657,26451900.550373532
2018-11-15 21:23:48.303487,2,XRP,9358992.859561644,26076689.876779225
2018-11-15 21:23:48.304127,1,USDT,7637694.7251469325,52528590.42715275
2018-12-25 21:23:48.304566,2,USDT,7637694.7251469325,52440935.994333945
2018-12-25 21:23:48.304672,1,BTC,985.1921142799725,26220467.997166973
2018-12-25 21:23:48.304733,1,BCH,20170.11763166065,26220467.997166973
2019-01-12 21:23:48.304829,2,BCH,20170.11763166065,21591674.300645046
2019-01-12 21:23:48.304886,2,BTC,985.1921142799725,26854984.906936537
2019-01-12 21:23:48.304957,1,USDT,6992022.36839776,48446659.20758158
2019-02-17 21:23:48.305279,2,USDT,6992022.36839776,47024954.408974916
2019-02-17 21:23:48.306248,1,BTC,972.6101403963208,23512477.204487458
2019-02-17 21:23:48.306386,1,ETH,28290.203634995723,23512477.204487458
2019-04-29 21:23:48.307069,2,ETH,28290.203634995723,29487163.436382446
