TimeStamp,Type,CoinId,Amount,CashValue
2016-02-29 21:13:25.312078,1,BTC,59.14860843253453,166666.66666666666
2016-02-29 21:13:25.312304,1,ETH,26889.578748679796,166666.66666666666
2016-02-29 21:13:25.312397,1,XMR,51174.17552500699,166666.66666666666
2016-04-09 21:13:25.312790,2,ETH,26889.5787486798,756533.661628912
2016-04-09 21:13:25.312870,2,BTC,59.14860843253454,157142.49202985383
2016-04-09 21:13:25.312944,2,XMR,51174.17552500699,312206.6672838405
2016-04-09 21:13:25.313011,1,USDT,187785.5457089515,1225882.8209426063
2016-05-15 21:13:25.313245,2,USDT,187785.5457089515,1222145.8885829984
2016-05-15 21:13:25.314342,1,XMR,58590.336968626376,611072.9442914992
2016-05-15 21:13:25.315233,1,BTC,225.06699174436204,611072.9442914992
2016-08-03 21:13:25.315809,2,BTC,225.06699174436204,1110623.740501978
2016-08-03 21:13:25.316093,2,XMR,58590.336968626376,677527.201597093
2016-08-03 21:13:25.316369,1,USDT,271380.4243368005,1788150.942099071
2016-08-30 21:13:25.316749,2,USDT,271380.4243368005,1816403.4561710733
2016-08-30 21:13:25.316846,1,ETH,11353.30929073013,908201.7280855366
2016-08-30 21:13:25.316922,1,XMR,68138.78505610778,908201.7280855366
2016-10-07 21:13:25.317094,2,ETH,11353.30929073013,834290.1139395277
2016-10-07 21:13:25.317161,2,XMR,68138.78505610778,2007380.5665662424
2016-10-07 21:13:25.317227,1,USDT,426792.62871433276,2841670.6805057703
2016-11-08 21:13:25.317439,2,USDT,426792.62871433276,2847603.0980448998
2016-11-08 21:13:25.317509,1,BTC,351.20860637750684,1423801.5490224499
2016-11-08 21:13:25.317574,1,ETH,16653.534918206722,1423801.5490224499
2016-11-16 21:13:25.317670,2,ETH,16653.534918206722,1448210.6090376573
2016-11-16 21:13:25.317736,2,BTC,351.20860637750684,1435059.7155559207
2016-11-16 21:13:25.317808,1,USDT,432138.35592895455,2883270.324593578
2016-12-09 21:13:25.317984,2,USDT,432138.35592895455,2913952.1478645336
2016-12-09 21:13:25.318052,1,BTC,300.9466766322389,1456976.0739322668
2016-12-09 21:13:25.318116,1,LTC,53561.88545090445,1456976.0739322668
2017-07-08 21:13:25.318704,2,LTC,53561.88545090445,10807954.266196521
2017-07-08 21:13:25.318786,2,BTC,300.9466766322389,5556084.81909945
2017-07-08 21:13:25.318856,1,USDT,2347792.0285834945,16364039.085295971
2017-08-05 21:13:25.319047,2,USDT,2347792.0285834945,15956047.646436447
2017-08-05 21:13:25.319116,1,LTC,22484.16460946368,7978023.823218224
2017-08-05 21:13:25.319181,1,XMR,26493.761269838542,7978023.823218224
2017-09-12 21:13:25.319346,2,LTC,22484.16460946368,6592855.720580148
2017-09-12 21:13:25.319412,2,XMR,26493.761269838542,8648526.173772661
2017-09-12 21:13:25.319477,1,USDT,2283341.402745999,15241381.894352809
2017-10-13 21:13:25.319679,2,USDT,2283341.402745999,14944657.491143832
2017-10-13 21:13:25.319748,1,XRP,5700677.257208455,7472328.745571916
2017-10-13 21:13:25.319822,1,EOS,1612399.6527564165,7472328.745571916
2018-01-19 21:13:25.320128,2,EOS,1612399.6527564165,89779336.18624346
2018-01-19 21:13:25.320193,2,XRP,5700677.257208455,41885684.59139716
2018-01-19 21:13:25.320259,1,USDT,19890284.111748863,131665020.77764061
