TimeStamp,Type,CoinId,Amount,CashValue
2018-02-28 21:07:42.395971,1,USDT,79787.09140559961,500000
2018-04-16 21:07:42.396398,2,USDT,79787.09140559961,502243.15899544564
2018-04-16 21:07:42.396481,1,BNB,3612.591507233208,251121.57949772282
2018-04-16 21:07:42.396542,1,XRP,66775.73578382262,251121.57949772282
2018-05-18 21:07:42.396684,2,BNB,3612.591507233208,336325.8622204142
2018-05-18 21:07:42.396742,2,XRP,66775.73578382262,369684.1890186781
2018-05-18 21:07:42.396838,1,USDT,111523.13656955566,706010.0512390924
2018-07-20 21:07:42.397150,2,USDT,111523.13656955566,739048.3181018949
2018-07-20 21:07:42.397212,1,BTC,8.215561795523875,369524.15905094746
2018-07-20 21:07:42.397257,1,ETH,113.77850816220862,369524.15905094746
2018-07-24 21:07:42.397321,2,ETH,113.77850816220862,330184.2500604878
2018-07-24 21:07:42.397376,2,BTC,8.215561795523875,342661.6231271333
2018-07-24 21:07:42.397420,1,USDT,100903.36551016026,672845.8731876211
2018-07-26 21:07:42.397490,2,USDT,100903.36551016026,669812.2791129444
2018-07-26 21:07:42.397548,1,BCH,62.094121021629206,334906.1395564722
2018-07-26 21:07:42.399235,1,LTC,591.3738654336512,334906.1395564722
2018-08-02 21:07:42.399336,2,BCH,62.094121021629206,330799.7696477714
2018-08-02 21:07:42.399624,2,LTC,591.3738654336512,331092.3603917245
2018-08-02 21:07:42.399682,1,USDT,98265.49423432705,661892.1300394959
2018-09-22 21:07:42.400155,2,USDT,98265.49423432705,675739.9803726283
2018-09-22 21:07:42.400338,1,EOS,9111.639269447776,337869.99018631416
2018-09-22 21:07:42.400840,1,XRP,177183.2503150818,337869.99018631416
2018-10-15 21:07:42.401105,2,EOS,9111.639269447776,287221.4590096649
2018-10-15 21:07:42.401208,2,XRP,177183.2503150818,544920.4435549784
2018-10-15 21:07:42.401286,1,USDT,121311.09035678601,832141.9025646432
2018-11-07 21:07:42.401562,2,USDT,121311.09035678601,840923.5826136982
2018-11-07 21:07:42.401656,1,XRP,148764.31638874172,420461.7913068491
2018-11-07 21:07:42.401732,1,EOS,14391.327737207113,420461.7913068491
2018-11-15 21:07:42.401861,2,EOS,14391.327737207113,444957.13331596396
2018-11-15 21:07:42.401941,2,XRP,148764.31638874172,414497.69237049937
2018-11-15 21:07:42.402024,1,USDT,124965.3481136327,859454.8256864634
2018-12-25 21:07:42.402433,2,USDT,124965.3481136327,858020.6538446851
2018-12-25 21:07:42.402534,1,BTC,16.119376323650343,429010.32692234253
2018-12-25 21:07:42.402610,1,BCH,330.01656416490306,429010.32692234253
2019-01-12 21:07:42.402810,2,BCH,330.01656416490306,353275.5880452368
2019-01-12 21:07:42.402904,2,BTC,16.119376323650343,439392.0755214677
2019-01-12 21:07:42.402980,1,USDT,114401.07790748648,792667.6635667045
2019-02-17 21:07:42.403324,2,USDT,114401.07790748648,769406.2160401688
2019-02-17 21:07:42.403419,1,BTC,15.913514371463336,384703.1080200844
2019-02-17 21:07:42.403492,1,ETH,462.8746333383712,384703.1080200844
2019-04-29 21:07:42.403913,2,ETH,462.8746333383712,482458.8801093023
2019-04-29 21:07:42.404008,2,BTC,15.913514371463336,560585.4161797492
2019-04-29 21:07:42.404082,1,USDT,154123.9607752264,1043044.2962890514
2019-05-13 21:07:42.404276,2,USDT,154123.9607752264,1055502.6270924637
2019-05-13 21:07:42.404357,1,BTC,11.168866975286878,527751.3135462318
2019-05-13 21:07:42.404428,1,BCH,238.48029455077557,527751.3135462318
